Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PropertyType,PropertySubtype,ConstructionYear,StateBuilding,KitchenType,FacadeCount,FloorCount,EPCScore,HasTerrace,HasGarden,HasKitchen,Open_fire,SwimmingPool,Furnished,BedroomCount,LivingArea,Terrace_Area,Garden_Area,LandWidth,LandSurface,ScrapedURL,PriceType,TypeSale,LifeAnnuitySale
20210446,Brussels,Brussels,Brussels,Forest,1190,Avenue Maréchal Joffre,270000,APARTMENT,APARTMENT,1956,TO_BE_DONE_UP,SEMI_EQUIPPED,,4,G,1,1,1,0,0,0,1.0,80,4,75,,,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20210446,residential_sale,FOR_SALE,0
20212208,Wallonie,Luxembourg,Neufchâteau,Bertrix,6880,Rue De La Crochette,89000,APARTMENT,APARTMENT,,TO_BE_DONE_UP,SEMI_EQUIPPED,,1,C,0,1,1,0,0,0,2.0,90,,576,,,https://www.immoweb.be/en/classified/apartment/for-sale/bertrix/6880/20212208,residential_sale,FOR_SALE,0
20185778,Wallonie,Luxembourg,Neufchâteau,Bertrix,6880,Rue De La Crochette,299000,HOUSE,APARTMENT_BLOCK,,TO_BE_DONE_UP,SEMI_EQUIPPED,4,3,D,0,1,1,0,0,0,5.0,270,,1,0,576,https://www.immoweb.be/en/classified/apartment-block/for-sale/bertrix/6880/20185778,residential_sale,FOR_SALE,0
20139718,Wallonie,Luxembourg,Neufchâteau,Saint-Hubert,6870,Avenue Paul Poncelet,299000,HOUSE,HOUSE,,GOOD,SEMI_EQUIPPED,3,4,E,1,1,1,1,0,0,5.0,352,17,1352,24,1352,https://www.immoweb.be/en/classified/house/for-sale/saint-hubert/6870/20139718,residential_sale,FOR_SALE,0
20238546,Wallonie,Liège,Liège,Soumagne,4630,Rue Des Anges,368285,HOUSE,HOUSE,,AS_NEW,,4,2,,1,1,0,0,0,0,4.0,140,20,400,21,1416,https://www.immoweb.be/en/classified/house/for-sale/soumagne/4630/20238546,residential_sale,FOR_SALE,0
20209608,Wallonie,Luxembourg,Neufchâteau,Paliseul,6850,Grand-Place,230000,HOUSE,MIXED_USE_BUILDING,,GOOD,INSTALLED,2,3,D,0,0,1,0,0,0,3.0,170,,,0,0,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/paliseul/6850/20209608,residential_sale,FOR_SALE,0
20174086,Wallonie,Luxembourg,Neufchâteau,Libramont-Chevigny,6800,Rue De Saint Hubert,458000,HOUSE,HOUSE,,GOOD,USA_INSTALLED,4,3,B,1,1,1,0,0,0,4.0,570,70,1,0,3006,https://www.immoweb.be/en/classified/house/for-sale/libramont-chevigny/6800/20174086,residential_sale,FOR_SALE,0
20238544,Wallonie,Walloon Brabant,Nivelles,Lasne,1380,,1495000,HOUSE,VILLA,2007,AS_NEW,HYPER_EQUIPPED,4,,C,1,1,1,1,0,0,4.0,328,1,1,0,1298,https://www.immoweb.be/en/classified/villa/for-sale/lasne/1380/20238544,residential_sale,FOR_SALE,0
20238506,Flanders,Limburg,Maaseik,Lommel,3920,Stationsstraat,274500,APARTMENT,APARTMENT,2024,GOOD,HYPER_EQUIPPED,3,4,,1,0,1,0,0,0,2.0,92,27,,,,https://www.immoweb.be/en/classified/apartment/for-sale/lommel/3920/20238506,residential_sale,FOR_SALE,0
20238548,Wallonie,Liège,Waremme,Fexhe-le-Haut-Clocher,4347,Grand'route,235000,APARTMENT,APARTMENT,2023,AS_NEW,INSTALLED,,1,A,1,0,1,0,0,0,2.0,,1,,,,https://www.immoweb.be/en/classified/apartment/for-sale/fexhe-le-haut-clocher/4347/20238548,residential_sale,FOR_SALE,0
20238496,Wallonie,Liège,Waremme,Fexhe-le-Haut-Clocher,4347,Grand'route,240000,APARTMENT,APARTMENT,2023,AS_NEW,INSTALLED,,,A,0,1,1,0,0,0,2.0,,,1,,,https://www.immoweb.be/en/classified/apartment/for-sale/fexhe-le-haut-clocher/4347/20238496,residential_sale,FOR_SALE,0
20238507,Flanders,Flemish Brabant,Leuven,Diest,3290,Beringenbaan,369000,HOUSE,HOUSE,1986,,,4,,F,0,0,0,0,0,0,0.0,377,,,96,42552,https://www.immoweb.be/en/classified/house/for-sale/diest/3290/20238507,residential_sale,FOR_SALE,0
20238511,Wallonie,Liège,Verviers,HEUSY,4802,Rue Bidaut,230000,HOUSE,HOUSE,,,,,,E,0,0,0,0,0,0,4.0,155,,,0,0,https://www.immoweb.be/en/classified/house/for-sale/heusy/4802/20238511,residential_sale,FOR_SALE,0
20238500,Flanders,East Flanders,Aalst,Lede,9340,Bellaertstraat,399000,HOUSE,HOUSE,1932,,,2,,C,0,0,0,0,0,0,3.0,200,,,0,290,https://www.immoweb.be/en/classified/house/for-sale/lede/9340/20238500,residential_sale,FOR_SALE,0
20238513,Wallonie,Liège,Verviers,HEUSY,4802,Rue Bidaut,230000,HOUSE,APARTMENT_BLOCK,,,,,,E,0,0,0,0,0,0,4.0,155,,,0,0,https://www.immoweb.be/en/classified/apartment-block/for-sale/heusy/4802/20238513,residential_sale,FOR_SALE,0
20238505,Flanders,Limburg,Maaseik,Lommel,3920,Stationsstraat,272500,APARTMENT,APARTMENT,2024,GOOD,HYPER_EQUIPPED,3,4,,1,0,1,0,0,0,2.0,92,22,,,,https://www.immoweb.be/en/classified/apartment/for-sale/lommel/3920/20238505,residential_sale,FOR_SALE,0
