Property ID,Locality,PostalCode,Price,PropertyType,PropertySubtype,TypeSale,BedroomCount,LivingArea,Kitchen,Furnished,Open_fire,Terrace_Area,Garden_Area,FacadeCount,SwimmingPool,StateBuilding,LifeAnnuitySale,RoomCount,ToiletCount,BathroomCount,ShowerCount,ScrapedURL
20197868,Ramsel,2230,259500.0,APARTMENT,APARTMENT,FOR_SALE,2,85.0,1,0,0,24.0,,,0,AS_NEW,0,,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/ramsel/2230/20197868
20197817,ANTWERPEN,2060,309950.0,HOUSE,HOUSE,FOR_SALE,5,234.0,1,0,0,,32.0,2.0,0,TO_RENOVATE,0,,0.0,3.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2060/20197817
20197779,Nijlen,2560,285000.0,HOUSE,HOUSE,FOR_SALE,3,180.0,1,0,0,,300.0,3.0,0,TO_RENOVATE,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/nijlen/2560/20197779
20197744,Heist-op-den-Berg,2221,575000.0,HOUSE,HOUSE,FOR_SALE,2,248.0,1,0,0,,,4.0,0,AS_NEW,0,,2.0,1.0,,https://www.immoweb.be/en/classified/house/for-sale/heist-op-den-berg/2221/20197744
20197690,Lier,2500,420000.0,HOUSE,HOUSE,FOR_SALE,2,193.0,0,0,0,,,4.0,0,TO_RENOVATE,0,,1.0,1.0,,https://www.immoweb.be/en/classified/house/for-sale/lier/2500/20197690
20197572,Mechelen,2800,630000.0,HOUSE,APARTMENT_BLOCK,FOR_SALE,0,,1,0,0,1.0,,2.0,0,GOOD,0,,,,,https://www.immoweb.be/en/classified/apartment-block/for-sale/mechelen/2800/20197572
20234538,Sint-Niklaas,9100,265000.0,HOUSE,HOUSE,FOR_SALE,3,158.0,1,0,0,1.0,312.0,4.0,0,TO_RENOVATE,0,,1.0,1.0,,https://www.immoweb.be/en/classified/house/for-sale/sint-niklaas/9100/20234538
20234533,Bruxelles,1000,310000.0,APARTMENT,APARTMENT,FOR_SALE,2,78.0,1,0,0,,,2.0,0,AS_NEW,0,,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20234533
11083931,St-Josse-Ten-Noode,1210,249000.0,APARTMENT,APARTMENT,FOR_SALE,1,52.0,1,0,0,,,,0,AS_NEW,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/st-josse-ten-noode/1210/11083931
20234525,Binche Péronnes-lez-Binche,7134,250000.0,HOUSE,HOUSE,FOR_SALE,2,,1,0,0,,,3.0,0,AS_NEW,0,,,1.0,,https://www.immoweb.be/en/classified/house/for-sale/binche%20p%C3%A9ronnes-lez-binche/7134/20234525
