Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PriceType,PropertyType,PropertySubtype,TypeSale,BedroomCount,LivingArea,KitchenType,Furnished,Open_fire,SwimmingPool,Terrace_Area,Garden_Area,FacadeCount,FloorCount,ConstructionYear,StateBuilding,LandWidth,LandSurface,EPCScore,LifeAnnuitySale,ScrapedURL
20241441,Flanders,West Flanders,Veurne,Sint-Idesbald,8670,Meesjesweg,325000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,2,,,0,0,0,,,,5,,GOOD,,,,0,https://www.immoweb.be/en/classified/apartment/for-sale/sint-idesbald/8670/20241441
20229102,Brussels,Brussels,Brussels,Etterbeek,1040,Rue Du Grand Duc - Groothertogstraat,345000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,87,INSTALLED,0,0,0,4,,2,3,,AS_NEW,,,C,0,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20229102
20243260,Flanders,Limburg,Hasselt,Leopoldsburg,3970,Lidostraat,371000,residential_sale,HOUSE,HOUSE,FOR_SALE,3,166,HYPER_EQUIPPED,0,0,0,,,2,,,,0,210,A,0,https://www.immoweb.be/en/classified/house/for-sale/leopoldsburg/3970/20243260
20243250,Flanders,Limburg,Hasselt,Leopoldsburg,3970,Lidostraat,378000,residential_sale,HOUSE,HOUSE,FOR_SALE,3,171,HYPER_EQUIPPED,0,0,0,,,3,,,,0,280,A,0,https://www.immoweb.be/en/classified/house/for-sale/leopoldsburg/3970/20243250
20241452,Flanders,West Flanders,Brugge,Brugge,8000,Dudzeelse Steenweg,475000,residential_sale,HOUSE,HOUSE,FOR_SALE,4,,USA_INSTALLED,0,0,0,,,,,2025,AS_NEW,0,321,A,0,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20241452
20238004,Brussels,Brussels,Brussels,Ixelles,1050,,395000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,0,158,,0,0,0,,30,,,,,,,E,0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20238004
20242756,Flanders,Antwerp,Antwerp,Berendrecht,2040,Abtenstraat,450000,residential_sale,HOUSE,HOUSE,FOR_SALE,3,162,INSTALLED,0,0,0,,508,,,1982,GOOD,0,508,C,0,https://www.immoweb.be/en/classified/house/for-sale/berendrecht/2040/20242756
20151564,Flanders,West Flanders,Roeselare,Ingelmunster,8770,Kortrijkstraat,149000,residential_sale,HOUSE,HOUSE,FOR_SALE,0,168,NOT_INSTALLED,0,0,0,,,,,1850,TO_RENOVATE,15,550,F,0,https://www.immoweb.be/en/classified/house/for-sale/ingelmunster/8770/20151564
20237623,Brussels,Brussels,Brussels,UCCLE,1180,,435000,residential_sale,APARTMENT,PENTHOUSE,FOR_SALE,2,95,HYPER_EQUIPPED,0,0,0,20,,,2,2017,,,,C,0,https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/20237623
20229449,Brussels,Brussels,Brussels,Anderlecht,1070,Rue des Matériaux,328000,residential_sale,APARTMENT,DUPLEX,FOR_SALE,2,113,,0,0,0,15,,2,2,2012,AS_NEW,,,B,0,https://www.immoweb.be/en/classified/duplex/for-sale/anderlecht/1070/20229449
